event,variable,LogLik,AIC,BIC,Gsq,Chisq,entropy_norm,entropy_bits,n,p_class1,p_class2,p_class3,p_class4,sep_L1_mean,bins_chosen,cats
2_year_follow_up_y_arm_1,screentime_smq_followers,-8014.773671915224,16067.547343830449,16191.297862060805,5.990662000211582e-13,1.554413667156708e-13,0.6351677777355934,1.2703355554711868,4980,0.2464583265757729,0.25500707132538464,0.25426659242767363,0.24426800967116882,0.2531140071903238,quantile_5,5
2_year_follow_up_y_arm_1,screentime_smq_following,-7924.469857404418,15886.939714808836,16010.475368067619,-2.713018137511132e-13,1.7027152062598611e-13,0.6353889657507832,1.2707779315015664,4924,0.24617775951175527,0.2556061439819601,0.2539411713469228,0.2442749251593619,0.25317082976939737,quantile_5,5
3_year_follow_up_y_arm_1,screentime_smq_followers,-8566.583912947604,17171.16782589521,17296.240905216713,5.677792627332631e-13,1.9306666314581556e-12,0.6421610239789985,1.284322047957997,5339,0.24952060160075124,0.2641458440244233,0.2510517933211986,0.23528176105362683,0.25033828174956446,quantile_5,5
3_year_follow_up_y_arm_1,screentime_smq_following,-8327.733548660213,16693.467097320427,16817.980409843036,6.8395727585235724e-12,6.01103675240126e-12,0.6317437541957588,1.2634875083915176,5184,0.2621819682308333,0.26311905876005154,0.2421856847206322,0.2325132882884829,0.2559488173537139,logq_5,5
